date	close	color
24-Apr-07	93.24	blue
25-Apr-07	95.35	blue
26-Apr-07	98.84	blue
27-Apr-07	99.92	blue
4-Oct-07	156.24	blue
5-Oct-07	161.45	blue
8-Oct-07	167.91	blue
9-Oct-07	167.86	blue
10-Oct-07	166.79	blue
11-Oct-07	162.23	blue
12-Oct-07	167.25	blue
15-Oct-07	166.98	blue
16-Oct-07	169.58	blue
17-Oct-07	172.75	blue
18-Oct-07	173.50	blue
19-Oct-07	170.42	blue
22-Oct-07	174.36	blue
23-Oct-07	186.16	blue
24-Oct-07	185.93	blue
25-Oct-07	182.78	blue
26-Oct-07	184.70	blue
29-Oct-07	185.09	blue
30-Oct-07	187.00	blue
31-Oct-07	189.95	blue
1-Nov-07	187.44	blue
2-Nov-07	187.87	blue
5-Nov-07	186.18	blue
6-Nov-07	191.79	blue
7-Nov-07	186.30	blue
8-Nov-07	175.47	blue
9-Nov-07	165.37	blue
12-Nov-07	153.76	blue
13-Nov-07	169.96	blue
14-Nov-07	166.11	blue
15-Nov-07	164.30	blue
16-Nov-07	166.39	blue
19-Nov-07	163.95	blue
20-Nov-07	168.85	blue
21-Nov-07	168.46	blue
23-Nov-07	171.54	blue
26-Nov-07	172.54	blue
27-Nov-07	174.81	blue
28-Nov-07	180.22	blue
29-Nov-07	184.29	blue
30-Nov-07	182.22	blue
3-Dec-07	178.86	blue
4-Dec-07	179.81	blue
5-Dec-07	185.50	blue
6-Dec-07	189.95	blue
7-Dec-07	194.30	blue
10-Dec-07	194.21	blue
11-Dec-07	188.54	blue
12-Dec-07	190.86	blue
13-Dec-07	191.83	blue
14-Dec-07	190.39	blue
17-Dec-07	184.40	blue
18-Dec-07	182.98	blue
19-Dec-07	183.12	blue
20-Dec-07	187.21	blue
21-Dec-07	193.91	blue
24-Dec-07	198.80	blue
26-Dec-07	198.95	blue
27-Dec-07	198.57	red
28-Dec-07	199.83	red
31-Dec-07	198.08	red
2-Jan-08	194.84	red
3-Jan-08	194.93	red
4-Jan-08	180.05	red
7-Jan-08	177.64	red
8-Jan-08	171.25	red
9-Jan-08	179.40	red
10-Jan-08	178.02	red
11-Jan-08	172.69	red
14-Jan-08	178.78	blue
15-Jan-08	169.04	blue
16-Jan-08	159.64	blue
17-Jan-08	160.89	blue
18-Jan-08	161.36	blue
22-Jan-08	155.64	blue
23-Jan-08	139.07	blue
24-Jan-08	135.60	blue
25-Jan-08	130.01	blue
28-Jan-08	130.01	blue
29-Jan-08	131.54	blue
30-Jan-08	132.18	blue
31-Jan-08	135.36	blue
1-Feb-08	133.75	blue
4-Feb-08	131.65	blue
5-Feb-08	129.36	blue
6-Feb-08	122.00	blue
7-Feb-08	121.24	blue
8-Feb-08	125.48	blue
11-Feb-08	129.45	blue
12-Feb-08	124.86	blue
13-Feb-08	129.40	blue
14-Feb-08	127.46	blue
15-Feb-08	124.63	blue
19-Feb-08	122.18	blue
20-Feb-08	123.82	blue
21-Feb-08	121.54	blue
22-Feb-08	119.46	blue
25-Feb-08	119.74	blue
26-Feb-08	119.15	blue
27-Feb-08	122.96	blue
28-Feb-08	129.91	blue
29-Feb-08	125.02	blue
3-Mar-08	121.73	blue
4-Mar-08	124.62	blue
5-Mar-08	124.49	blue
6-Mar-08	120.93	blue
7-Mar-08	122.25	blue
10-Mar-08	119.69	blue
11-Mar-08	127.35	blue
12-Mar-08	126.03	blue
13-Mar-08	127.94	blue
14-Mar-08	126.61	blue
17-Mar-08	126.73	blue
18-Mar-08	132.82	red
19-Mar-08	129.67	red
20-Mar-08	133.27	red
24-Mar-08	139.53	red
25-Mar-08	140.98	red
26-Mar-08	145.06	red
27-Mar-08	140.25	red
28-Mar-08	143.01	red
31-Mar-08	143.50	red
1-Apr-08	149.53	red
2-Apr-08	147.49	red
3-Apr-08	151.61	red
4-Apr-08	153.08	red
7-Apr-08	155.89	red
8-Apr-08	152.84	red
9-Apr-08	151.44	blue
10-Apr-08	154.55	blue
11-Apr-08	147.14	blue
14-Apr-08	147.78	blue
15-Apr-08	148.38	blue
16-Apr-08	153.70	blue
17-Apr-08	154.49	blue
18-Apr-08	161.04	blue
21-Apr-08	168.16	blue
22-Apr-08	160.20	blue
