fips,county_name,all,other,Flood,Severe Ice Storm,Severe Storm(s),Snow,Tornado,Fire,Hurricane
16079,Shoshone (County),10,1,4,0,3,0,0,1,1
16073,Owyhee (County),4,0,1,0,2,0,0,0,1
16071,Oneida (County),1,0,0,0,0,0,0,0,1
16077,Power (County),3,0,1,0,0,0,0,1,1
16075,Payette (County),4,0,1,0,2,0,0,0,1
06115,Yuba (County),16,3,4,0,5,0,0,3,1
06111,Ventura (County),34,5,8,0,5,0,0,15,1
06113,Yolo (County),11,3,2,0,5,0,0,0,1
01129,Washington (County),19,1,1,0,6,1,0,1,9
40145,Wagoner (County),25,0,7,6,8,0,2,1,1
08115,Sedgwick (County),7,1,4,0,1,0,1,0,0
01085,Lowndes (County),13,1,1,0,4,1,0,0,6
51069,Frederick (County),15,1,2,0,3,4,0,0,5
39109,Miami (County),11,0,0,0,7,3,0,0,1
51065,Fluvanna (County),17,2,3,0,3,4,0,0,5
39105,Meigs (County),14,0,3,0,9,1,0,0,1
51067,Franklin (County),14,2,3,0,4,2,0,0,3
39107,Mercer (County),10,0,1,0,6,1,1,0,1
51061,Fauquier (County),16,1,2,0,4,4,0,0,5
39101,Marion (County),10,0,1,0,4,4,0,0,1
51063,Floyd (County),13,1,2,0,5,3,0,0,2
39103,Medina (County),12,0,0,0,6,2,3,0,1
72071,Isabela (Municipio),7,0,2,0,1,0,0,0,4
40029,Coal (County),20,0,2,4,11,0,1,1,1
01081,Lee (County),16,1,1,0,7,1,1,0,5
22009,Avoyelles (Parish),23,0,7,0,2,1,1,0,12
40027,Cleveland (County),34,0,3,7,14,0,2,7,1
22001,Acadia (Parish),21,0,3,0,4,0,0,0,14
22003,Allen (Parish),18,0,5,0,1,0,0,1,11
22005,Ascension (Parish),27,1,9,0,1,1,0,0,15
40025,Cimarron (County),12,0,0,3,7,0,0,1,1
22007,Assumption (Parish),24,1,6,0,2,0,0,0,15
06029,Kern (County),28,5,5,0,5,0,0,12,1
06021,Glenn (County),12,3,4,0,4,0,0,0,1
01125,Tuscaloosa (County),21,1,2,0,10,1,2,0,5
06023,Humboldt (County),17,2,8,0,5,0,0,1,1
06025,Imperial (County),10,4,3,0,2,0,0,0,1
06027,Inyo (County),8,1,4,0,1,0,0,1,1
72027,Camuy (Municipio),9,0,2,0,2,0,0,0,5
27173,Yellow Medicine (County),19,1,8,0,9,0,0,0,1
27171,Wright (County),15,1,8,0,5,0,0,0,1
21101,Henderson (County),12,0,0,2,7,1,1,0,1
21103,Henry (County),12,0,2,2,5,1,1,0,1
21105,Hickman (County),14,0,3,2,6,2,0,0,1
21107,Hopkins (County),19,0,2,2,11,2,1,0,1
21109,Jackson (County),21,0,5,2,6,4,1,2,1
32013,Humboldt (County),5,1,1,0,0,2,0,0,1
32011,Eureka (County),5,1,0,0,0,2,0,1,1
32017,Lincoln (County),5,0,0,0,1,2,0,1,1
32015,Lander (County),4,1,0,0,0,2,0,0,1
32019,Lyon (County),9,0,2,0,3,2,0,1,1
26157,Tuscola (County),9,0,4,0,2,2,0,0,1
42055,Franklin (County),18,0,6,0,4,4,0,0,4
26155,Shiawassee (County),12,0,4,0,3,3,1,0,1
42057,Fulton (County),14,0,4,0,2,4,0,0,4
12019,Clay (County),19,1,0,0,7,0,0,5,6
42051,Fayette (County),16,0,4,0,4,5,0,0,3
26151,Sanilac (County),10,0,3,0,3,3,0,0,1
42053,Forest (County),10,0,2,0,2,1,1,0,4
12015,Charlotte (County),24,5,1,0,4,0,1,4,9
12017,Citrus (County),19,3,0,0,5,0,1,2,8
12011,Broward (County),27,5,0,0,4,0,1,3,14
42059,Greene (County),13,0,4,0,3,3,0,0,3
12013,Calhoun (County),23,0,2,0,8,0,1,3,9
51115,Mathews (County),15,1,2,0,1,2,0,0,9
51117,Mecklenburg (County),13,2,1,0,2,3,0,0,5
55109,St. Croix (County),9,1,2,0,3,0,2,0,1
